model,encoding,D,n,C_mix_mean,C_mix_sd
CV-QRC,Global,5,6,0.047369127502680186,0.00048166564450208179
ESN,Local,2,2,0.10129484278512832,0.034730796466750133
ESN,Local,2,3,0.12071539766049963,0.045710947051345312
ESN,Local,2,4,0.11556822041396431,0.042480037969456992
ESN,Local,2,5,0.10322430315503595,0.069338392820422867
ESN,Local,2,6,0.15258331898723385,0.042585395005311812
ESN,Local,3,3,0.047016733269788002,0.010606731802544664
ESN,Local,3,4,0.039318689399015887,0.017674105538750436
ESN,Local,3,5,0.05964411479671889,0.02064062253433949
ESN,Local,3,6,0.06485947726018601,0.016957200138985051
ESN,Local,4,4,0.028840641126596706,0.0052323356710494914
ESN,Local,4,5,0.026890958068698224,0.012020515513476175
ESN,Local,4,6,0.031711909467918867,0.012631090129716459
ESN,Local,5,5,0.018639899267495447,0.0049418255758882845
ESN,Local,5,6,0.021434627472227553,0.0065626905828304067
ESN,Clustered,2,2,0.058168422944029553,0.0599433393553125
ESN,Clustered,2,3,0.090148536198337112,0.065755029506199492
ESN,Clustered,2,4,0.13026553087862308,0.028660316557522762
ESN,Clustered,2,5,0.1235232768164746,0.073704113610878502
ESN,Clustered,2,6,0.16690609523993799,0.034049229507058014
ESN,Clustered,3,3,0.043844153996770788,0.014268839608899202
ESN,Clustered,3,4,0.034950302316483904,0.018702609806806981
ESN,Clustered,3,5,0.061637195942376433,0.015298188387099581
ESN,Clustered,3,6,0.070568506714115589,0.012887916955674653
ESN,Clustered,4,4,0.025911952586322163,0.0060594273441962922
ESN,Clustered,4,5,0.030651396957810634,0.0092054104844940653
ESN,Clustered,4,6,0.030009932947876801,0.0091527872292382489
ESN,Clustered,5,5,0.016341744855681316,0.0059706130365791525
ESN,Clustered,5,6,0.020854693662809211,0.004490206874773142
ESN,Global,2,2,0.17194614246838824,0.044570892861372072
ESN,Global,2,3,0.20634940731708298,0.060249777203149626
ESN,Global,2,4,0.2070574649784529,0.028385732541945388
ESN,Global,2,5,0.23307069208298037,0.015039508558260256
ESN,Global,2,6,0.24283463586798079,0.049382500365085125
ESN,Global,3,2,0.08962242797468048,0.016308435777836534
ESN,Global,3,3,0.090273153928482841,0.02188634273555622
ESN,Global,3,4,0.1031583992010159,0.011163233436844947
ESN,Global,3,5,0.11231402845457394,0.013201369625933178
ESN,Global,3,6,0.10874973874820307,0.023693250645411362
ESN,Global,4,2,0.044526217974284882,0.012082833559267352
ESN,Global,4,3,0.050941052047392452,0.01158438609837411
ESN,Global,4,4,0.055911466262367621,0.0068248746674565578
ESN,Global,4,5,0.061036858326063842,0.0089458938209460298
ESN,Global,4,6,0.064771135016269285,0.00716395950200319
ESN,Global,5,2,0.03056514431922798,0.0055907992806568758
ESN,Global,5,3,0.032853377691991557,0.0092859202035809451
ESN,Global,5,4,0.037854964259375012,0.0046328143890498356
ESN,Global,5,5,0.035379909769753144,0.0055858081208150293
ESN,Global,5,6,0.040906807480043952,0.001849523765306857
