model,encoding,D,n,C_mix_mean,C_mix_sd
CV-QRC,Clustered,2,6,5.0389793069403312,0.25093313473483342
CV-QRC,Clustered,3,3,2.9998506670643712,6.5787694276584342e-05
CV-QRC,Clustered,3,4,3.3534662436195601,0.21628029490726067
CV-QRC,Clustered,3,5,5.6822775442981177,0.40074311280636876
CV-QRC,Clustered,3,6,6.8498259192448323,0.53653197674597386
CV-QRC,Clustered,4,4,5.9993224261129257,0.0026429524900244495
CV-QRC,Clustered,4,5,6.33496570090559,0.23984182931962403
CV-QRC,Clustered,4,6,9.2499097521142808,0.66402371817721273
CV-QRC,Clustered,5,5,9.9998950878647825,0.00010780859240756989
CV-QRC,Clustered,5,6,10.597339034407172,0.22107959446399214
CV-QRC,Global,2,2,0.53023354785063248,0.2677498606168861
CV-QRC,Global,2,3,0.99983323756853593,0.00072381006428035933
CV-QRC,Global,2,4,1.9960998067138696,0.25311156631424614
CV-QRC,Global,2,5,3.6544328219252762,0.19879351009057639
CV-QRC,Global,2,6,5.074156333105635,0.3047062028911916
CV-QRC,Global,3,2,0.67833819318719857,0.15173426313766059
CV-QRC,Global,3,3,1.8851841410656629,0.27519131245918316
CV-QRC,Global,3,4,2.980910708141626,0.060123746893676049
CV-QRC,Global,3,5,4.8143829216994041,0.44226594077564108
CV-QRC,Global,3,6,7.2511091194334867,0.43271668391061879
CV-QRC,Global,4,2,0.73749328365619116,0.10129041846606276
CV-QRC,Global,4,3,2.2145833264805357,0.19301985229038304
CV-QRC,Global,4,4,4.1262849610711569,0.24785345524091124
CV-QRC,Global,4,5,5.977703883775904,0.034141330979384522
CV-QRC,Global,4,6,8.0965934198821135,0.57687600713686404
CV-QRC,Global,5,2,0.81895469165443413,0.06099069868225257
CV-QRC,Global,5,3,2.4776741446856931,0.18807598070290582
CV-QRC,Global,5,4,4.748039736631152,0.26342954021322701
CV-QRC,Global,5,5,7.3678175110513608,0.27567685967903555
CV-QRC,Global,5,6,9.9475167755628391,0.10114978534543717
ESN,Local,2,2,0.60776905671076986,0.2083847788005008
ESN,Local,2,3,1.0864385789444966,0.41139852346210781
ESN,Local,2,4,1.3868186449675717,0.50976045563348393
ESN,Local,2,5,1.5483645473255392,1.0400758923063429
ESN,Local,2,6,2.7464997417702093,0.76653711009561265
ESN,Local,3,3,1.2694517982842761,0.28638175866870591
ESN,Local,3,4,1.4154728183645719,0.63626779939501565
ESN,Local,3,5,2.6839851658523504,0.92882801404527715
ESN,Local,3,6,3.5024117720500452,0.91568880750519288
ESN,Local,4,4,2.0765261611149626,0.37672816831556338
ESN,Local,4,5,2.4201862261828402,1.0818463962128559
ESN,Local,4,6,3.4248862225352377,1.3641577340093776
ESN,Local,5,5,2.7959848901243172,0.74127383638324262
ESN,Local,5,6,3.8582329450009594,1.1812843049094732
ESN,Clustered,2,2,0.34901053766417733,0.35966003613187503
ESN,Clustered,2,3,0.81133682578503397,0.59179526555579542
ESN,Clustered,2,4,1.563186370543477,0.34392379869027312
ESN,Clustered,2,5,1.8528491522471189,1.1055617041631776
ESN,Clustered,2,6,3.0043097143188837,0.61288613112704426
ESN,Clustered,3,3,1.1837921579128114,0.38525866944027848
ESN,Clustered,3,4,1.2582108833934207,0.67329395304505135
ESN,Clustered,3,5,2.7736738174069395,0.68841847741948115
ESN,Clustered,3,6,3.8106993625622421,0.69594751560643131
ESN,Clustered,4,4,1.8656605862151958,0.43627876878213301
ESN,Clustered,4,5,2.7586257262029572,0.82848694360446595
ESN,Clustered,4,6,3.2410727583706946,0.98850102075773105
ESN,Clustered,5,5,2.4512617283521974,0.89559195548687287
ESN,Clustered,5,6,3.7538448593056577,0.80823723745916543
ESN,Global,2,2,1.0316768548103294,0.26742535716823246
ESN,Global,2,3,1.8571446658537469,0.54224799482834662
ESN,Global,2,4,2.4846895797414348,0.34062879050334466
ESN,Global,2,5,3.4960603812447055,0.22559262837390384
ESN,Global,2,6,4.3710234456236545,0.88888500657153224
ESN,Global,3,2,1.6132037035442488,0.29355184400105766
ESN,Global,3,3,2.4373751560690367,0.59093125386001799
ESN,Global,3,4,3.7137023712365727,0.40187640372641814
ESN,Global,3,5,5.0541312804558274,0.59406163316699301
ESN,Global,3,6,5.8724858924029659,1.2794355348522135
ESN,Global,4,2,1.6029438470742559,0.43498200813362475
ESN,Global,4,3,2.7508168105591926,0.6255568493122019
ESN,Global,4,4,4.0256255708904689,0.49139097605687221
ESN,Global,4,5,5.4933172493457461,0.80513044388514277
