subpanel,model,encoding,gamma,coupling_strength,primary_quantity,primary_mean,primary_sd,secondary_quantity,secondary_mean,secondary_sd,rho_sweep,rho_fixed,rho_fixed_ci_low,rho_fixed_ci_high
a,DV-QRC,Clustered,4,4.6415888336127818e-05,C_mix,0.19535637889754179,0.32795006013991002,negativity,2.7673273500930736e-08,4.3319505022651029e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.0001,C_mix,0.39455152403464339,0.59248180288830188,negativity,2.8018621156804267e-08,4.2951328416304847e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.00021544346900318823,C_mix,0.59226733972198109,0.79014768269638447,negativity,2.7843914295381581e-08,4.3557173885686497e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.00046415888336127773,C_mix,0.84047590592449506,0.93838628547170766,negativity,2.7866354415123856e-08,4.3393108042472315e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.001,C_mix,1.1765548360354676,0.99993365761209618,negativity,2.7972270447903784e-08,4.4603572383315947e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.0021544346900318821,C_mix,1.619048890074712,0.99232401993832153,negativity,2.7875687984622832e-08,4.2312868503628076e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.0046415888336127772,C_mix,2.1112287218409516,0.92404505579478446,negativity,2.7869290016542553e-08,4.3143354224796555e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.01,C_mix,2.6182920829257745,0.77376865783614279,negativity,2.81489520600193e-08,4.2986099374208443e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.021544346900318822,C_mix,3.0194668839906513,0.64754244673176908,negativity,2.9265246175500657e-08,4.50383718049675e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.046415888336127774,C_mix,3.2482295767047531,0.58822354021977874,negativity,3.5159022177784703e-08,5.6426902597826409e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.10000000000000001,C_mix,3.3950064969221039,0.52587098401391186,negativity,0.00015078492766005522,0.00015026883152171377,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.21544346900318823,C_mix,3.4817572997019179,0.4743618229969907,negativity,0.0080096688779772406,0.0022318452572675398,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,0.46415888336127725,C_mix,3.6660759944220183,0.40742657392007414,negativity,0.033091137178559646,0.0059438689027631079,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,1,C_mix,3.8810024112947481,0.42503147657391388,negativity,0.081968338313499062,0.013876968546413439,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,2.154434690031882,C_mix,4.0780796030867297,0.36774625396856292,negativity,0.14384997155695112,0.020944706925446942,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,4.6415888336127722,C_mix,3.9340426633007821,0.34009908422879059,negativity,0.13192003632695198,0.018452058415174531,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,10,C_mix,3.2562297478716999,0.35259201434983489,negativity,0.048410455785760295,0.0096034689534734985,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Global,3,1.0000000000000001e-05,C_mix,2.9805931752885302,0.053699581340216448,negativity,5.9687803519046738e-10,1.4422300214092147e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,2.1544346900318823e-05,C_mix,2.9985278206073582,0.021635585563225583,negativity,5.9366182128693684e-10,1.425619896825867e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,4.6415888336127818e-05,C_mix,3.013976292139803,0.070216706593501321,negativity,5.9610832189030579e-10,1.4089779628306774e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.0001,C_mix,3.0233116086096947,0.09954241670702503,negativity,6.0164298019702599e-10,1.6748439357645762e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.00021544346900318823,C_mix,3.0325528476567976,0.11612117991569942,negativity,5.9827474624752318e-10,1.5097963460624531e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.00046415888336127773,C_mix,3.0500144064836983,0.1492937177225071,negativity,5.8937749668019676e-10,1.6012346243878231e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.001,C_mix,3.0750523896627402,0.1926935134035504,negativity,5.9491002593154265e-10,1.5098738111585209e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.0021544346900318821,C_mix,3.1138632260675152,0.22407403733416603,negativity,5.8079666129080791e-10,1.3745748056922369e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.0046415888336127772,C_mix,3.1906962299714046,0.26753173535593006,negativity,5.9052289773654158e-10,1.4435515349259342e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.01,C_mix,3.3103620037285597,0.33504993907810043,negativity,5.8869997240359414e-10,1.2760052850120988e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.021544346900318822,C_mix,3.4355186818611498,0.38636718677419379,negativity,6.1069496293520828e-10,1.4983758665739826e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.046415888336127774,C_mix,3.549488061046735,0.40326333870478909,negativity,7.6535531965050944e-10,2.5884095486970357e-10,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.10000000000000001,C_mix,3.6505929207191405,0.41390406850389044,negativity,5.0402773263957972e-09,9.3642746239797709e-09,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.21544346900318823,C_mix,3.768403054844522,0.35392496110820537,negativity,0.0028558336140132859,0.0018478314429073272,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,0.46415888336127725,C_mix,3.9793843329560374,0.3048720231343347,negativity,0.023564594860729707,0.0080402114785458629,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,1,C_mix,4.1797665314906221,0.21739315148309113,negativity,0.068829263719924552,0.01960552118797667,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,2.154434690031882,C_mix,4.3502668642589448,0.25113087373406662,negativity,0.12477970002911527,0.027289936537740766,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,4.6415888336127722,C_mix,4.0813445928932728,0.24744460188004705,negativity,0.10537486115425128,0.021405359235442369,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,DV-QRC,Global,3,10,C_mix,3.7369673273041966,0.26472306404194801,negativity,0.0273544669882523,0.0090564565950275212,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143
a,CV-QRC,Local,6,1.0000000000000001e-05,C_mix,0.99866568257157384,0.0055484730582622821,squeezing,0.090601375143065863,0.00028668743011599646,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,2.1544346900318823e-05,C_mix,0.99866758918894238,0.0055379514383832283,squeezing,0.090601542649559705,0.00028664018226655532,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,4.6415888336127818e-05,C_mix,0.99874135501156813,0.0055093460534780076,squeezing,0.090601938397861459,0.00028654162611011939,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.0001,C_mix,1.0112754052995878,0.017544908241722834,squeezing,0.090602950443285785,0.00028634718023184274,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.00021544346900318823,C_mix,1.6113498031303077,0.7764689610658545,squeezing,0.090605807960413162,0.00028600212681671771,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.00046415888336127773,C_mix,2.6441286938883612,0.59392595719090679,squeezing,0.09061507361230009,0.0002855386146220579,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.001,C_mix,2.8966463952900363,0.43457470795125958,squeezing,0.090648876602527642,0.00028578979220436119,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.0021544346900318821,C_mix,2.9462872507559537,0.2194116729971978,squeezing,0.090785139883898677,0.00029848841051175292,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.0046415888336127772,C_mix,2.9977723541017274,0.006163058111045722,squeezing,0.091366837235840132,0.00045544841906265714,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.01,C_mix,3.0000132281041458,0.0082489399929596644,squeezing,0.093965745451841498,0.0014476278671170662,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.021544346900318822,C_mix,4.364039898203746,0.82229050404413928,squeezing,0.10589562319473027,0.0057721158755134156,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.046415888336127774,C_mix,4.8256190940175978,0.65062046509115656,squeezing,0.15541525619820185,0.017083108840396329,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.10000000000000001,C_mix,5.3273597498034597,0.97379876673409982,squeezing,0.27961917700839162,0.0333149853582397,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.21544346900318823,C_mix,6.2628480510433482,1.1203058821850682,squeezing,0.54223810616860768,0.061173367587281077,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,0.46415888336127725,C_mix,6.3417535352630754,1.0956959152986918,squeezing,1.0152952870480341,0.10038962302035245,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,1,C_mix,6.2027226591765636,0.90247668701240935,squeezing,1.6835905270287064,0.12230248459083903,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,2.154434690031882,C_mix,5.0937214021452393,0.39125782251489666,squeezing,2.321625477440787,0.094209920683599263,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,4.6415888336127722,C_mix,5.0924083452296633,0.27659810866946588,squeezing,2.7093851930550197,0.047577912684008225,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Local,6,10,C_mix,5.0558860713454807,0.37037081359388274,squeezing,2.8836860199385823,0.019910361171109701,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728
a,CV-QRC,Clustered,5,1.0000000000000001e-05,C_mix,1.002330900252939,0.0053574491361200001,squeezing,0.080447836629603336,0.013506998109827523,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,2.1544346900318823e-05,C_mix,1.0035399863006083,0.0060083828561531211,squeezing,0.080447803321210307,0.013507050226916405,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,4.6415888336127818e-05,C_mix,1.0276906511063311,0.036420971557103075,squeezing,0.080447839343750799,0.013507119631608541,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.0001,C_mix,1.2931886406163522,0.38127923361082394,squeezing,0.080448412637623562,0.013507088052328713,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.00021544346900318823,C_mix,1.7694824013747921,0.52019388513304354,squeezing,0.080451693877115843,0.013506313575903093,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.00046415888336127773,C_mix,2.3056209582746954,0.35083882964085833,squeezing,0.080466630088909447,0.013502272717655944,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.001,C_mix,2.5374664832896028,0.33161842346178283,squeezing,0.080530694015330945,0.013486313938424302,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.0021544346900318821,C_mix,2.7066852132109576,0.29306917725409848,squeezing,0.080804068385046779,0.013426678527985543,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.0046415888336127772,C_mix,2.8501870119239778,0.22271903408730376,squeezing,0.081973919897429748,0.013210290409893971,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.01,C_mix,2.9745918363779777,0.17768967875363093,squeezing,0.086805578900097519,0.01272005638098613,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.021544346900318822,C_mix,3.0831190924643419,0.20915641324077497,squeezing,0.10581158969441551,0.01288338331819611,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.046415888336127774,C_mix,3.1732700165954255,0.26500412617287544,squeezing,0.16914951591537936,0.019163141399855779,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.10000000000000001,C_mix,3.2864670752465353,0.33045699938572087,squeezing,0.31880361691436687,0.035895602593510122,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.21544346900318823,C_mix,3.4429515668578148,0.36244108643361106,squeezing,0.61740621505995641,0.067254895732783565,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,0.46415888336127725,C_mix,3.5784579635031459,0.30733917299249131,squeezing,1.1292408835330652,0.10525617993701783,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,1,C_mix,4.0323432071349448,0.34662978316539239,squeezing,1.8008725343789074,0.11810161533197185,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,2.154434690031882,C_mix,4.1426715178762201,0.20052594795000481,squeezing,2.3910854097185807,0.084427042395451624,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,4.6415888336127722,C_mix,4.2308727346767707,0.27580267589745888,squeezing,2.7341260464933113,0.042022156883738282,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Clustered,5,10,C_mix,4.2368582506665211,0.21564584921323027,squeezing,2.8902667541829574,0.018155288245792555,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882
a,CV-QRC,Global,3,1.0000000000000001e-05,C_mix,3.0276162681743735,0.077526184586801591,squeezing,0.14202723791920216,0.0071810828029322798,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897
a,CV-QRC,Global,3,2.1544346900318823e-05,C_mix,3.1108562361585697,0.20498034695239192,squeezing,0.14202950093034844,0.0071808057415276025,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897
a,CV-QRC,Global,3,4.6415888336127818e-05,C_mix,3.2089239024092509,0.29337854603530961,squeezing,0.14203474546391393,0.007180128599567911,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897
a,CV-QRC,Global,3,0.0001,C_mix,3.2474520833532328,0.33158711147744147,squeezing,0.14204751282477684,0.0071783568591310496,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897
a,CV-QRC,Global,3,0.00021544346900318823,C_mix,3.3088581339194159,0.36292106504308996,squeezing,0.14208105309255009,0.0071734652599208856,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897
a,CV-QRC,Global,3,0.00046415888336127773,C_mix,3.4130313440144442,0.38552501175924447,squeezing,0.14217748240711911,0.0071589164659621478,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897
