model,encoding,gamma,encoding_strength,coupling_strength,NRMSE
DV-QRC,Local,10,1,10,0.04835931004069359
DV-QRC,Clustered,5,0.0001,1.0000000000000001e-05,0.1664007685425159
DV-QRC,Clustered,5,0.0001,2.1544346900318823e-05,0.16466474276293225
DV-QRC,Clustered,5,0.0001,4.6415888336127818e-05,0.16256663963282728
DV-QRC,Clustered,5,0.0001,0.0001,0.16262176413313395
DV-QRC,Clustered,5,0.0001,0.00021544346900318823,0.16574102951356923
DV-QRC,Clustered,5,0.0001,0.00046415888336127773,0.15740823468469531
DV-QRC,Clustered,5,0.0001,0.001,0.16498207622251687
DV-QRC,Clustered,5,0.0001,0.0021544346900318821,0.15479523976101636
DV-QRC,Clustered,5,0.0001,0.0046415888336127772,0.15231542394824468
DV-QRC,Clustered,5,0.0001,0.01,0.15084249493382443
DV-QRC,Clustered,5,0.0001,0.021544346900318822,0.15868100768878698
DV-QRC,Clustered,5,0.0001,0.046415888336127774,0.17570577539424209
DV-QRC,Clustered,5,0.0001,0.10000000000000001,0.16548030030581787
DV-QRC,Clustered,5,0.0001,0.21544346900318823,0.15531032240848819
DV-QRC,Clustered,5,0.0001,0.46415888336127725,0.16575558329151535
DV-QRC,Clustered,5,0.0001,1,0.1699990919113418
DV-QRC,Clustered,5,0.0001,2.154434690031882,0.21608891866689756
DV-QRC,Clustered,5,0.0001,4.6415888336127722,0.25242970494925254
DV-QRC,Clustered,5,0.0001,10,0.26312848771870512
DV-QRC,Clustered,5,0.00021544346900318845,1.0000000000000001e-05,0.17304956921693238
DV-QRC,Clustered,5,0.00021544346900318845,2.1544346900318823e-05,0.17280493244832329
DV-QRC,Clustered,5,0.00021544346900318845,4.6415888336127818e-05,0.16787156155463459
DV-QRC,Clustered,5,0.00021544346900318845,0.0001,0.16558617631258218
DV-QRC,Clustered,5,0.00021544346900318845,0.00021544346900318823,0.16195287389553709
DV-QRC,Clustered,5,0.00021544346900318845,0.00046415888336127773,0.15978123011050266
DV-QRC,Clustered,5,0.00021544346900318845,0.001,0.16537491534235013
DV-QRC,Clustered,5,0.00021544346900318845,0.0021544346900318821,0.15844061502120918
DV-QRC,Clustered,5,0.00021544346900318845,0.0046415888336127772,0.15749089129138677
DV-QRC,Clustered,5,0.00021544346900318845,0.01,0.15591918257312909
DV-QRC,Clustered,5,0.00021544346900318845,0.021544346900318822,0.15533134528763082
DV-QRC,Clustered,5,0.00021544346900318845,0.046415888336127774,0.15495778871811233
DV-QRC,Clustered,5,0.00021544346900318845,0.10000000000000001,0.17428420274810791
DV-QRC,Clustered,5,0.00021544346900318845,0.21544346900318823,0.16841546048372183
DV-QRC,Clustered,5,0.00021544346900318845,0.46415888336127725,0.15654363117647818
DV-QRC,Clustered,5,0.00021544346900318845,1,0.16468674826921831
DV-QRC,Clustered,5,0.00021544346900318845,2.154434690031882,0.18577930261216741
DV-QRC,Clustered,5,0.00021544346900318845,4.6415888336127722,0.2185440803998743
DV-QRC,Clustered,5,0.00021544346900318845,10,0.24122663557881924
DV-QRC,Clustered,5,0.00046415888336127773,1.0000000000000001e-05,0.17023097076907628
DV-QRC,Clustered,5,0.00046415888336127773,2.1544346900318823e-05,0.16967197874714357
DV-QRC,Clustered,5,0.00046415888336127773,4.6415888336127818e-05,0.16784602186515546
DV-QRC,Clustered,5,0.00046415888336127773,0.0001,0.16588119818768499
DV-QRC,Clustered,5,0.00046415888336127773,0.00021544346900318823,0.16412704909142647
DV-QRC,Clustered,5,0.00046415888336127773,0.00046415888336127773,0.16301680583418895
DV-QRC,Clustered,5,0.00046415888336127773,0.001,0.16255993351914855
DV-QRC,Clustered,5,0.00046415888336127773,0.0021544346900318821,0.16151016853637049
DV-QRC,Clustered,5,0.00046415888336127773,0.0046415888336127772,0.16151577074959705
DV-QRC,Clustered,5,0.00046415888336127773,0.01,0.16086260730136609
DV-QRC,Clustered,5,0.00046415888336127773,0.021544346900318822,0.1607837963231897
DV-QRC,Clustered,5,0.00046415888336127773,0.046415888336127774,0.16029708797920889
DV-QRC,Clustered,5,0.00046415888336127773,0.10000000000000001,0.15908090364385061
DV-QRC,Clustered,5,0.00046415888336127773,0.21544346900318823,0.15849127103182337
DV-QRC,Clustered,5,0.00046415888336127773,0.46415888336127725,0.15542871908117425
DV-QRC,Clustered,5,0.00046415888336127773,1,0.16098546488202639
DV-QRC,Clustered,5,0.00046415888336127773,2.154434690031882,0.17563359179825494
DV-QRC,Clustered,5,0.00046415888336127773,4.6415888336127722,0.19326756211173304
DV-QRC,Clustered,5,0.00046415888336127773,10,0.20124389483816957
DV-QRC,Clustered,5,0.001,1.0000000000000001e-05,0.15623550856359567
DV-QRC,Clustered,5,0.001,2.1544346900318823e-05,0.15663274896874163
DV-QRC,Clustered,5,0.001,4.6415888336127818e-05,0.1563380216216167
DV-QRC,Clustered,5,0.001,0.0001,0.15644332469038219
DV-QRC,Clustered,5,0.001,0.00021544346900318823,0.15581580909445666
DV-QRC,Clustered,5,0.001,0.00046415888336127773,0.15558007957200648
DV-QRC,Clustered,5,0.001,0.001,0.15550634995298643
DV-QRC,Clustered,5,0.001,0.0021544346900318821,0.15527549968994284
DV-QRC,Clustered,5,0.001,0.0046415888336127772,0.15421792697962106
DV-QRC,Clustered,5,0.001,0.01,0.15263303777418524
DV-QRC,Clustered,5,0.001,0.021544346900318822,0.15169526927742508
DV-QRC,Clustered,5,0.001,0.046415888336127774,0.14920639749333928
