model,encoding,gamma,encoding_strength,coupling_strength,C_mix
DV-QRC,Local,7,0.021544346900318822,2.1544346900318823e-05,0
DV-QRC,Local,7,0.021544346900318822,4.6415888336127818e-05,0
DV-QRC,Local,7,0.021544346900318822,0.0001,0
DV-QRC,Local,7,0.021544346900318822,0.00021544346900318823,0.59701697558083633
DV-QRC,Local,7,0.021544346900318822,0.00046415888336127773,1.3038398111836806
DV-QRC,Local,7,0.021544346900318822,0.001,2.1760578335652676
DV-QRC,Local,7,0.021544346900318822,0.0021544346900318821,2.4971666717072871
DV-QRC,Local,7,0.021544346900318822,0.0046415888336127772,2.5155963578222309
DV-QRC,Local,7,0.021544346900318822,0.01,2.5159039656338318
DV-QRC,Local,7,0.021544346900318822,0.021544346900318822,2.5207010862320471
DV-QRC,Local,7,0.021544346900318822,0.046415888336127774,2.5207861093169086
DV-QRC,Local,7,0.021544346900318822,0.10000000000000001,2.5402910806823833
DV-QRC,Local,7,0.021544346900318822,0.21544346900318823,2.7271700523535496
DV-QRC,Local,7,0.021544346900318822,0.46415888336127725,3.196230614943151
DV-QRC,Local,7,0.021544346900318822,1,3.5256401052009938
DV-QRC,Local,7,0.021544346900318822,2.154434690031882,3.6349614062498077
DV-QRC,Local,7,0.021544346900318822,4.6415888336127722,3.5816643302405682
DV-QRC,Local,7,0.021544346900318822,10,2.8014130510281414
DV-QRC,Local,7,0.046415888336127774,1.0000000000000001e-05,0
DV-QRC,Local,7,0.046415888336127774,2.1544346900318823e-05,0
DV-QRC,Local,7,0.046415888336127774,4.6415888336127818e-05,0
DV-QRC,Local,7,0.046415888336127774,0.0001,0.59913550298242613
DV-QRC,Local,7,0.046415888336127774,0.00021544346900318823,1.3365231991083755
DV-QRC,Local,7,0.046415888336127774,0.00046415888336127773,2.3220732165083517
DV-QRC,Local,7,0.046415888336127774,0.001,2.6617748176735874
DV-QRC,Local,7,0.046415888336127774,0.0021544346900318821,2.7796777463541278
DV-QRC,Local,7,0.046415888336127774,0.0046415888336127772,2.778922409639073
DV-QRC,Local,7,0.046415888336127774,0.01,2.7851578148861793
DV-QRC,Local,7,0.046415888336127774,0.021544346900318822,2.7944369963826401
DV-QRC,Local,7,0.046415888336127774,0.046415888336127774,2.8127049287859403
DV-QRC,Local,7,0.046415888336127774,0.10000000000000001,2.9284164134618349
DV-QRC,Local,7,0.046415888336127774,0.21544346900318823,3.3029110432488045
DV-QRC,Local,7,0.046415888336127774,0.46415888336127725,3.6918348343172149
DV-QRC,Local,7,0.046415888336127774,1,3.8508806049431623
DV-QRC,Local,7,0.046415888336127774,2.154434690031882,3.9764278229823318
DV-QRC,Local,7,0.046415888336127774,4.6415888336127722,3.8665635187406298
DV-QRC,Local,7,0.046415888336127774,10,3.0837731856235466
DV-QRC,Local,7,0.10000000000000001,1.0000000000000001e-05,0
DV-QRC,Local,7,0.10000000000000001,2.1544346900318823e-05,0
DV-QRC,Local,7,0.10000000000000001,4.6415888336127818e-05,0.59814947842445298
DV-QRC,Local,7,0.10000000000000001,0.0001,1.3696624181367754
DV-QRC,Local,7,0.10000000000000001,0.00021544346900318823,2.4172198834243912
DV-QRC,Local,7,0.10000000000000001,0.00046415888336127773,2.7742623718554347
DV-QRC,Local,7,0.10000000000000001,0.001,2.8913705399743135
DV-QRC,Local,7,0.10000000000000001,0.0021544346900318821,2.8925229960651087
DV-QRC,Local,7,0.10000000000000001,0.0046415888336127772,2.8975755044723339
DV-QRC,Local,7,0.10000000000000001,0.01,2.9044668154403106
DV-QRC,Local,7,0.10000000000000001,0.021544346900318822,2.9177400380827305
DV-QRC,Local,7,0.10000000000000001,0.046415888336127774,2.9791234689349069
DV-QRC,Local,7,0.10000000000000001,0.10000000000000001,3.2403660460147359
DV-QRC,Local,7,0.10000000000000001,0.21544346900318823,3.6690592749692752
DV-QRC,Local,7,0.10000000000000001,0.46415888336127725,3.8607952647778978
DV-QRC,Local,7,0.10000000000000001,1,3.9951015322567458
DV-QRC,Local,7,0.10000000000000001,2.154434690031882,4.1637705227254749
DV-QRC,Local,7,0.10000000000000001,4.6415888336127722,3.7920400109080967
DV-QRC,Local,7,0.10000000000000001,10,3.1744304941528725
DV-QRC,Local,7,0.21544346900318823,1.0000000000000001e-05,0
DV-QRC,Local,7,0.21544346900318823,2.1544346900318823e-05,0.59892698136257105
DV-QRC,Local,7,0.21544346900318823,4.6415888336127818e-05,1.3703050089328801
DV-QRC,Local,7,0.21544346900318823,0.0001,2.3923781102039561
DV-QRC,Local,7,0.21544346900318823,0.00021544346900318823,2.768222414932251
DV-QRC,Local,7,0.21544346900318823,0.00046415888336127773,2.8908051263696848
DV-QRC,Local,7,0.21544346900318823,0.001,2.8922129562933772
DV-QRC,Local,7,0.21544346900318823,0.0021544346900318821,2.8936318168839499
DV-QRC,Local,7,0.21544346900318823,0.0046415888336127772,2.8980631732462019
DV-QRC,Local,7,0.21544346900318823,0.01,2.9079240611072814
DV-QRC,Local,7,0.21544346900318823,0.021544346900318822,2.9233644644518564
DV-QRC,Local,7,0.21544346900318823,0.046415888336127774,2.9875955716869433
DV-QRC,Local,7,0.21544346900318823,0.10000000000000001,3.2559128498060175
DV-QRC,Local,7,0.21544346900318823,0.21544346900318823,3.6874529974022323
DV-QRC,Local,7,0.21544346900318823,0.46415888336127725,3.8697381136264437
DV-QRC,Local,7,0.21544346900318823,1,3.97278818150102
DV-QRC,Local,7,0.21544346900318823,2.154434690031882,4.1203048278511822
DV-QRC,Local,7,0.21544346900318823,4.6415888336127722,3.7163087802214423
DV-QRC,Local,7,0.21544346900318823,10,3.1851037592802744
DV-QRC,Local,7,0.46415888336127775,1.0000000000000001e-05,0.59245077263362167
DV-QRC,Local,7,0.46415888336127775,2.1544346900318823e-05,1.3422119129687491
DV-QRC,Local,7,0.46415888336127775,4.6415888336127818e-05,2.3474606865767154
DV-QRC,Local,7,0.46415888336127775,0.0001,2.7314559497994058
DV-QRC,Local,7,0.46415888336127775,0.00021544346900318823,2.8499922867581691
DV-QRC,Local,7,0.46415888336127775,0.00046415888336127773,2.8501586868047317
DV-QRC,Local,7,0.46415888336127775,0.001,2.8502928273749375
DV-QRC,Local,7,0.46415888336127775,0.0021544346900318821,2.8508685455160876
DV-QRC,Local,7,0.46415888336127775,0.0046415888336127772,2.8536253830676532
DV-QRC,Local,7,0.46415888336127775,0.01,2.8635575760728518
DV-QRC,Local,7,0.46415888336127775,0.021544346900318822,2.8776696512598181
DV-QRC,Local,7,0.46415888336127775,0.046415888336127774,2.9169031418308169
DV-QRC,Local,7,0.46415888336127775,0.10000000000000001,3.1216422796522556
DV-QRC,Local,7,0.46415888336127775,0.21544346900318823,3.5383283170059796
DV-QRC,Local,7,0.46415888336127775,0.46415888336127725,3.7502505025711659
DV-QRC,Local,7,0.46415888336127775,1,3.836504718415267
DV-QRC,Local,7,0.46415888336127775,2.154434690031882,3.9181898620671851
DV-QRC,Local,7,0.46415888336127775,4.6415888336127722,3.5752862374743311
DV-QRC,Local,7,0.46415888336127775,10,3.0517329793180679
DV-QRC,Local,7,1,1.0000000000000001e-05,1.2873154801959827
DV-QRC,Local,7,1,2.1544346900318823e-05,2.2344559032715829
DV-QRC,Local,7,1,4.6415888336127818e-05,2.6045292552040524
DV-QRC,Local,7,1,0.0001,2.7188664838297298
DV-QRC,Local,7,1,0.00021544346900318823,2.7190430142713362
DV-QRC,Local,7,1,0.00046415888336127773,2.7190260815467155
DV-QRC,Local,7,1,0.001,2.7189870486478074
DV-QRC,Local,7,1,0.0021544346900318821,2.7189750799342756
DV-QRC,Local,7,1,0.0046415888336127772,2.7188474683448689
DV-QRC,Local,7,1,0.01,2.7206652823201503
DV-QRC,Local,7,1,0.021544346900318822,2.7218909392389357
DV-QRC,Local,7,1,0.046415888336127774,2.7264588346948715
DV-QRC,Local,7,1,0.10000000000000001,2.8300372849619198
DV-QRC,Local,7,1,0.21544346900318823,3.1796738338767523
DV-QRC,Local,7,1,0.46415888336127725,3.4484793117690882
DV-QRC,Local,7,1,1,3.537843318740483
DV-QRC,Local,7,1,2.154434690031882,3.6151393178738478
DV-QRC,Local,7,1,4.6415888336127722,3.395733306965051
DV-QRC,Local,7,1,10,2.8315844336801552
DV-QRC,Clustered,4,0.0001,1.0000000000000001e-05,0.0088518380594130534
DV-QRC,Clustered,4,0.0001,2.1544346900318823e-05,0.042212440521402994
DV-QRC,Clustered,4,0.0001,4.6415888336127818e-05,0.055912221775610796
DV-QRC,Clustered,4,0.0001,0.0001,0.16391284636723627
DV-QRC,Clustered,4,0.0001,0.00021544346900318823,0.22483403101674831
DV-QRC,Clustered,4,0.0001,0.00046415888336127773,0.44457930457890016
DV-QRC,Clustered,4,0.0001,0.001,0.45745868916876259
DV-QRC,Clustered,4,0.0001,0.0021544346900318821,0.48166430088815476
DV-QRC,Clustered,4,0.0001,0.0046415888336127772,0.48213936917765615
DV-QRC,Clustered,4,0.0001,0.01,0.50313832373865242
DV-QRC,Clustered,4,0.0001,0.021544346900318822,0.5432728266868293
DV-QRC,Clustered,4,0.0001,0.046415888336127774,0.62525621355152672
DV-QRC,Clustered,4,0.0001,0.10000000000000001,0.69910312982817413
DV-QRC,Clustered,4,0.0001,0.21544346900318823,0.73061339062214725
DV-QRC,Clustered,4,0.0001,0.46415888336127725,0.7154423232476651
DV-QRC,Clustered,4,0.0001,1,0.68421395096867421
DV-QRC,Clustered,4,0.0001,2.154434690031882,0.3069537643266772
DV-QRC,Clustered,4,0.0001,4.6415888336127722,0.11925224760115015
DV-QRC,Clustered,4,0.0001,10,0.013471359049232245
DV-QRC,Clustered,4,0.00021544346900318845,1.0000000000000001e-05,0.18597289177173057
DV-QRC,Clustered,4,0.00021544346900318845,2.1544346900318823e-05,0.27865472713121542
DV-QRC,Clustered,4,0.00021544346900318845,4.6415888336127818e-05,0.48211346192429255
DV-QRC,Clustered,4,0.00021544346900318845,0.0001,0.63519066999974327
DV-QRC,Clustered,4,0.00021544346900318845,0.00021544346900318823,0.79186057002085553
DV-QRC,Clustered,4,0.00021544346900318845,0.00046415888336127773,0.79567182477568421
DV-QRC,Clustered,4,0.00021544346900318845,0.001,0.81719542887513219
DV-QRC,Clustered,4,0.00021544346900318845,0.0021544346900318821,0.81841448412219264
DV-QRC,Clustered,4,0.00021544346900318845,0.0046415888336127772,0.81418978814382081
DV-QRC,Clustered,4,0.00021544346900318845,0.01,0.82547495496374079
DV-QRC,Clustered,4,0.00021544346900318845,0.021544346900318822,0.84614803694233964
DV-QRC,Clustered,4,0.00021544346900318845,0.046415888336127774,0.90550578039853491
DV-QRC,Clustered,4,0.00021544346900318845,0.10000000000000001,1.0260972499280911
DV-QRC,Clustered,4,0.00021544346900318845,0.21544346900318823,1.0914245571932017
DV-QRC,Clustered,4,0.00021544346900318845,0.46415888336127725,1.120101906726338
DV-QRC,Clustered,4,0.00021544346900318845,1,1.1210997985529561
DV-QRC,Clustered,4,0.00021544346900318845,2.154434690031882,0.78584861290798436
DV-QRC,Clustered,4,0.00021544346900318845,4.6415888336127722,0.3503620713230437
DV-QRC,Clustered,4,0.00021544346900318845,10,0.12480286277169023
DV-QRC,Clustered,4,0.00046415888336127773,1.0000000000000001e-05,0.3811371908557511
DV-QRC,Clustered,4,0.00046415888336127773,2.1544346900318823e-05,0.60293107611028729
DV-QRC,Clustered,4,0.00046415888336127773,4.6415888336127818e-05,0.81602727266749309
DV-QRC,Clustered,4,0.00046415888336127773,0.0001,1.0327135908691356
DV-QRC,Clustered,4,0.00046415888336127773,0.00021544346900318823,1.1453426519329879
DV-QRC,Clustered,4,0.00046415888336127773,0.00046415888336127773,1.1978039906291067
DV-QRC,Clustered,4,0.00046415888336127773,0.001,1.223645411640804
DV-QRC,Clustered,4,0.00046415888336127773,0.0021544346900318821,1.2324798828303205
DV-QRC,Clustered,4,0.00046415888336127773,0.0046415888336127772,1.2365582942027382
DV-QRC,Clustered,4,0.00046415888336127773,0.01,1.2405731343539257
DV-QRC,Clustered,4,0.00046415888336127773,0.021544346900318822,1.2619633677847129
DV-QRC,Clustered,4,0.00046415888336127773,0.046415888336127774,1.3138436670217284
DV-QRC,Clustered,4,0.00046415888336127773,0.10000000000000001,1.4309066090588105
DV-QRC,Clustered,4,0.00046415888336127773,0.21544346900318823,1.4829750863296323
DV-QRC,Clustered,4,0.00046415888336127773,0.46415888336127725,1.4921878470027907
DV-QRC,Clustered,4,0.00046415888336127773,1,1.5001959471015593
DV-QRC,Clustered,4,0.00046415888336127773,2.154434690031882,1.2834246729914063
DV-QRC,Clustered,4,0.00046415888336127773,4.6415888336127722,0.75764834264801373
DV-QRC,Clustered,4,0.00046415888336127773,10,0.379880049021045
DV-QRC,Clustered,4,0.001,1.0000000000000001e-05,0.41444761077898878
DV-QRC,Clustered,4,0.001,2.1544346900318823e-05,0.56042915609505151
DV-QRC,Clustered,4,0.001,4.6415888336127818e-05,0.77049518630316993
DV-QRC,Clustered,4,0.001,0.0001,0.99329605740213567
DV-QRC,Clustered,4,0.001,0.00021544346900318823,1.1887480855995445
DV-QRC,Clustered,4,0.001,0.00046415888336127773,1.328724671266305
DV-QRC,Clustered,4,0.001,0.001,1.4061836449334082
DV-QRC,Clustered,4,0.001,0.0021544346900318821,1.444318186855025
DV-QRC,Clustered,4,0.001,0.0046415888336127772,1.4620822273771314
DV-QRC,Clustered,4,0.001,0.01,1.4690447120191337
DV-QRC,Clustered,4,0.001,0.021544346900318822,1.4869329686591051
DV-QRC,Clustered,4,0.001,0.046415888336127774,1.5383900673199535
DV-QRC,Clustered,4,0.001,0.10000000000000001,1.6430853818679005
DV-QRC,Clustered,4,0.001,0.21544346900318823,1.7210427970565769
DV-QRC,Clustered,4,0.001,0.46415888336127725,1.7555378007468809
DV-QRC,Clustered,4,0.001,1,1.846367442498525
DV-QRC,Clustered,4,0.001,2.154434690031882,1.6922151970473818
DV-QRC,Clustered,4,0.001,4.6415888336127722,1.208409845071273
